gene	Currie_et_al_Lhx_LFC	This_study_Lhx_LFC	Currie_et_al_Pitx_LFC	This_study_Litx_LFC
h1SMcG0000433	-0.179180282835273	0.0768461462761059	-0.92461950563366	0.50567241723846
h1SMcG0000434	-0.10262571105669	0.241012194533671	0.0672595025731148	0.349489707917316
h1SMcG0000435	0.489352635516516	-0.0388732890222669	0.861120523880656	-0.0145586009603884
h1SMcG0000437	-0.0219326360953298	-0.450026405883133	-0.115483217461262	-0.246483586334709
h1SMcG0000440	-0.189845172243789	-0.163834969644605	-0.129782573878776	-0.278805370133711
h1SMcG0000442	-0.106222487408346	-0.229954473625752	-0.107312290150703	-0.435633480673642
h1SMcG0000445	-1.06679447788215	-0.12654661477691	2.11291953206796	-0.298081439037783
h1SMcG0000446	0.118199456085321	-0.17244183815634	-0.0265250547289371	0.0642454567053561
h1SMcG0000447	0.0957427826888911	-0.0982915968087964	0.0771050665539772	-0.192605562129739
h1SMcG0000448	-0.0894248279579426	-0.0354067821840752	-0.0116136836883714	0.0333722249562479
h1SMcG0000452	-0.0980269660335672	-0.0756578583356006	-0.0781037310152097	-0.147151350735442
h1SMcG0000453	0.128238934712382	-0.144036030679756	0.226352302938801	0.256401696688966
h1SMcG0000454	-0.101322926939446	0.0863417399784378	-0.0498143304611127	0.17623083516491
h1SMcG0000455	-0.130251098940793	-0.193161362098473	-0.472828623997267	-0.0336119897455447
h1SMcG0000456	0.0623268534072919	0.0922952636283013	-0.0173327010840171	-0.16146929587445
h1SMcG0000457	-0.00501989396658843	0.0603340245768376	0.0323017562000255	-0.0844029003218845
h1SMcG0000458	0.360165033741588	-1.90981558567419	0.444619032566333	-0.738292165470693
h1SMcG0000459	-0.015727313883417	0.0616487505006497	-0.134117736912767	0.0626049465985246
h1SMcG0000462	-0.0623631414300388	-0.0385777654394649	-0.125894300072251	0.00349123476650371
h1SMcG0000463	-0.134129332513184	-0.0708346253738211	-0.151867659149941	-0.185848753809316
h1SMcG0000466	-0.968404768559545	0.417505275593377	-1.00217304763357	-0.284648790089355
h1SMcG0000470	-1.35739566203374	-0.208773614312455	0.36208372466095	0.197643924256601
h1SMcG0000473	0.0650629610550494	0.0798055283400183	-0.0452410226861134	0.0988977557035189
h1SMcG0000474	0.0526461225731099	-0.0193619960407631	-0.0494553897385735	0.0657610290094462
h1SMcG0000476	0.183722365620075	-0.0980152314731229	-0.0356408024727663	0.0501431645375083
h1SMcG0000479	-0.346969134979031	-0.59465415364523	-0.38840914166279	-0.144995793750548
h1SMcG0000482	0.145891261744452	-0.162543602122133	0.234056473161531	0.082338835519988
h1SMcG0000485	-0.127313482535397	0.237261718013785	-0.111857316457493	0.0971562944539223
h1SMcG0000487	-0.166681215399714	0.592640958278136	-0.157768334695929	0.560808608086964
h1SMcG0000489	0.0722519129463356	-0.210942134757887	0.0302592842057469	0.0292544629943322
h1SMcG0000490	-0.450264646945909	0.0328405554336758	-0.0437182547600313	0.147916417663134
h1SMcG0000491	0.0734988335304356	-0.176492752719276	-0.0894067604271941	0.0963427639577804
h1SMcG0000493	-0.0282587168858455	-0.147719744586276	0.0451705083693925	-0.0253360562292953
h1SMcG0000494	0.0352850360399426	0.0812879787163815	0.0520306202574654	0.267882564100566
h1SMcG0000496	-0.196947833101398	0.096582088290284	0.181156981760766	0.165387395304563
h1SMcG0000497	-0.00102180643471718	0.117951284098517	-0.134604187008911	-0.0401335600359694
h1SMcG0000499	-0.284142263195758	0.299236395540728	-0.0380579524799322	0.319061988426789
h1SMcG0000500	-0.0488604661928212	0.0370674380731248	-0.183460063928155	0.138379449304453
h1SMcG0000502	-0.0535550455717149	-0.252914365496134	-0.158124923269541	-0.0985021749662032
h1SMcG0000504	-0.0115283526633553	0.149619684368532	-0.0463715706338051	0.198706120105731
h1SMcG0000506	0.0242491623257814	-0.523328339858072	0.0265436642105472	0.0260118541022224
